analysis_group,model,forget_set,method,beta,gamma,alpha,extraction_strength,extraction_strength_retain,model_utility,extraction_strength_norm,extraction_strength_retain_norm,model_utility_norm,folder
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.1,,0.8,0.11274229760475649,0.9466816766191297,0.6313672008285812,0.14301869062627348,0.986819596320064,0.9910135857396262,evals_a0.8_b1.1
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.1,,1.2,0.08506383264806396,0.9377984175629918,0.6249948599085156,0.07974013005062923,0.9757883246433636,0.9301654103214495,evals_a1.2_b1.1
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.7,,0.9,0.09899236422580865,0.9572955880325028,0.6249773617237219,0.11158356611368944,1.0,0.9299983237466442,evals_a0.9_b0.7
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.9,,0.9,0.09604173526807508,0.9514525072583564,0.628788873896929,0.10483783243480464,0.9927440356021167,0.9663936711131862,evals_a0.9_b0.9
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.8,,1.1,0.08655754028285241,0.9427415992966794,0.6176753362896306,0.0831550473590188,0.981926790301858,0.8602727817370371,evals_a1.1_b0.8
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.0,,1.1,0.08986964747874655,0.9454549364229249,0.6272982118801606,0.09072719329111241,0.9852962247403829,0.9521596454979023,evals_a1.1_b1.0
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.1,,0.9,0.09667163112176537,0.9486838886835581,0.628908672818852,0.10627790156423265,0.9893059524082402,0.967537606427935,evals_a0.9_b1.1
phi-1_5_forget05,phi-1_5,forget05,NPO,0.1,0.2,,0.07301586750306174,0.2178066470781836,0.37484858817554984,0.1296210096939972,0.24061735331908088,0.7059147249392732,tofu_phi-1_5_forget05_NPO_beta0.1_gamma0.2_epoch5
phi-1_5_forget05,phi-1_5,forget05,NPO,0.15,0.2,,0.09253861108627547,0.28734559871836685,0.38438175571677013,0.24257355870099803,0.36592489208511647,0.779303104935208,tofu_phi-1_5_forget05_NPO_beta0.15_gamma0.2_epoch5
phi-1_5_forget05,phi-1_5,forget05,NPO,0.05,0.3,,0.05845561059586814,0.10485298615173497,0.32164604201582214,0.04537987192284892,0.03707753985534571,0.29635004903916123,tofu_phi-1_5_forget05_NPO_beta0.05_gamma0.3_epoch5
