model,forget_set,method,beta,gamma,epoch,dir_name,exact_memorization,extraction_strength,extraction_strength_retain,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,retain_Q_A_Prob,retain_Q_A_ROUGE,alpha,lr,composite_score
Llama-2-7B,forget05,SimNPO,2.5,0.1,5,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.5_gamma0.1_epoch5,0.8865268856287003,0.2547693135134321,0.6948949405931175,0.5381982652097941,0.47894153609221546,9.594235055800515e-10,0.5652238345056212,0.6055666368402871,-89.94527515185057,0.8945027034729719,0.6934685326086187,,,0.47479840722535555
Llama-2-7B,forget10,NPO,0.2,0.2,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.2_gamma0.2_epoch5,0.7661432664096356,0.10147316753575117,0.5264430395393832,0.31521816113963724,0.3494466445634783,9.9886659393885e-07,0.6417070314579864,0.5927813452275386,-59.08206208976274,0.8373900504410267,0.6037474763571599,,,0.6749647294491314
Llama-2-7B,forget10,NPO,0.2,0.4,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.2_gamma0.4_epoch5,0.7815919145196676,0.11460574202951802,0.37048460768517816,0.37316441665403544,0.3967918940887861,1.6196210141854015e-10,0.6372959955915541,0.5885876479133527,-65.79336205911679,0.724258973300457,0.5858615017141894,,,0.5985399103290792
Llama-2-7B,forget10,NPO,0.15,0.2,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.15_gamma0.2_epoch5,0.7222126733511687,0.0826227426821767,0.43942807568976405,0.23380751956254245,0.3197422952677899,0.0005832940307390987,0.6601562460743344,0.5844008100436138,-26.96952095185604,0.8042638011276722,0.5728132944156874,,,0.7010920576446517
Llama-2-7B,forget10,NPO,0.15,0.4,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.15_gamma0.4_epoch5,,,,0.2845838135480881,0.3201016641938654,3.596289960343452e-05,0.6693955666462351,0.574471188490881,,0.6948003105446696,0.48859605132002715,,,
Llama-2-7B,forget10,SimNPO,2.5,0.2,5,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.5_gamma0.2_epoch5,0.7785400059819222,0.10973336108512675,0.5584334583735039,0.22637671902484727,0.3758486123213523,1.3711905167668337e-07,0.6129478289091278,0.6057564390384695,-35.41520181216672,0.8426112332195044,0.617521846332435,,,0.7175052237085593
Llama-2-7B,forget05,NPO,0.15,0.2,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.15_gamma0.2_epoch5,0.7319793520867824,0.09067750181618849,0.44618762121328787,0.24968681119382383,0.32801967241664926,0.0030098470801667434,0.6686188328415079,0.5757175328425713,-34.88900878142608,0.7939926517009736,0.5816332855264738,,,0.7269431254337959
Llama-2-7B,forget05,NPO,0.15,0.4,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.15_gamma0.4_epoch5,0.7365264748036862,0.0976008080732939,0.3291185402038866,0.28089834935963154,0.33799623545998764,0.004304993380033157,0.6774700202907402,0.5560280264247376,-42.58902419568537,0.6809201417863369,0.5282650782963727,,,0.6104015026380689
Llama-2-7B,forget05,SimNPO,2.25,0.1,5,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.25_gamma0.1_epoch5,0.8799223911762237,0.24236695418364465,0.6988723474405889,0.5089653559401631,0.4768312392432988,9.594235055800515e-10,0.5665149017738067,0.6034030091360332,-86.3997225086481,0.8934854924678802,0.6946536290189655,,,0.49432318949201054
Llama-2-7B,forget05,NPO,0.2,0.3,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.2_gamma0.3_epoch5,0.7680644638836384,0.11127998957366564,0.40587831033455934,0.33544320832937957,0.3751980436952266,0.0002829222008740643,0.6494953171506146,0.5668640639858279,-59.53059965168329,0.7344213670492172,0.5775590001884486,,,0.6315823535023073
Llama-2-7B,forget05,NPO,0.2,0.5,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.2_gamma0.5_epoch5,0.7601375226676464,0.11179451251445961,0.3284098936122224,0.3259316784143448,0.37485213024495223,0.0004306111484986726,0.6616917546324734,0.5500009572031815,-61.51148449799424,0.6405045872926712,0.5338548572981484,,,0.5450702835071544
Llama-2-7B,forget05,NPO,0.05,0.3,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.05_gamma0.3_epoch5,0.5726590596139431,0.06024445543246527,0.24458980851350112,0.05407104139365401,0.23678457139115605,0.7125821300149116,0.6883832941632115,0.5491582777526194,38.850778474047964,0.46533436733298006,0.5029124410540443,,,0.6674272125213048
Llama-2-7B,forget05,NPO,0.05,0.5,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.05_gamma0.5_epoch5,0.5995430441200733,0.06560151221514678,0.19914470103821189,0.05465492900762911,0.257087510218574,0.9238374197330625,0.6841437424982888,0.5116459830968862,29.805765372312955,0.35947266245726495,0.4338273324509099,,,0.46463280913512306
Llama-2-7B,forget05,SimNPO,2.5,0.15,5,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.5_gamma0.15_epoch5,0.8465527787804603,0.18190569357591038,0.7035983820969861,0.3581347469985485,0.4185645155915343,2.4125498977354686e-08,0.5767560266429983,0.6053361290826191,-69.28086942049009,0.890685562491417,0.6965995052539047,,,0.6526003005882304
Llama-2-7B,forget10,NPO,0.1,0.2,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.1_gamma0.2_epoch5,0.6514069408923387,0.06707671232173965,0.31999139017304046,0.15310334528301608,0.29952685949204977,0.28118158736530297,0.6896221846168313,0.5767607061230471,13.661051835584598,0.6944724223390222,0.5474994919471403,,,0.7184106675409675
Llama-2-7B,forget10,NPO,0.1,0.4,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.1_gamma0.4_epoch5,0.6536508467048406,0.0698504514615313,0.22000262323857867,0.16309218296577455,0.31528124211760067,0.07829787069468755,0.7084557347860161,0.5597712234664673,13.253441755453782,0.5689790998212994,0.5099704602420139,,,0.6088096080467181
Llama-2-7B,forget10,SimNPO,2.0,0.15,5,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.0_gamma0.15_epoch5,0.7950469170510769,0.11477285266001976,0.5154212693472406,0.25795493913348766,0.3861903024340158,4.5846770167841434e-07,0.6178165979941439,0.6047417056430943,-41.029011640768495,0.8295402364153415,0.6105028793930748,,,0.6916285288316096
Llama-2-7B,forget05,SimNPO,2.0,0.2,5,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.0_gamma0.2_epoch5,0.7948337599635125,0.14846656885778875,0.6960918003772768,0.18607803351245822,0.365870373766121,2.3797467071606504e-06,0.5826120440184958,0.6105518053512804,-10.825497146473653,0.880147214308381,0.6749920379064633,,,0.761100158320511
Llama-2-7B,forget05,SimNPO,2.25,0.15,5,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.25_gamma0.15_epoch5,0.8315136522054672,0.18062442607611603,0.7085124047018272,0.3018566333502531,0.4162243128532622,1.4639479233432268e-07,0.57936822665499,0.6094752462146158,-53.44535223470859,0.884837114661932,0.6818009429397622,,,0.6766718793602915
