forget_split,method,beta,gamma,epoch,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,retain_Q_A_Prob,retain_Q_A_ROUGE,exp_name,es_norm,fq_norm,rouge_norm,composite_score
forget05,SimNPO,2.75,0.2,5,0.8083235797286034,0.15575146796488376,0.429544394724071,0.4585230428370303,9.594235055800515e-10,0.4992860864127983,0.39799342082213873,-91.54535701937706,0.799028002768755,0.5537754028401478,tofu_phi-1_5_forget05_SimNPO_beta2.75_gamma0.2_epoch5,0.45823581656120915,0.9999999975620375,0.9262277770661155,0.788250868062971
forget10,NPO,0.15,0.2,5,0.7091998306661844,0.08519268360245476,0.26413131644483656,0.4200969744446237,6.392505006995772e-06,0.5685237428046063,0.3869134707888219,-64.53385969194714,0.6992983469367027,0.5154756513505504,tofu_phi-1_5_forget10_NPO_beta0.15_gamma0.2_epoch5,0.8106443006763112,0.999983755884741,0.7094962028806469,0.8465686806605623
forget10,NPO,0.15,0.4,5,0.7041427926719188,0.08948941863909558,0.2854444295633584,0.43083619069926554,2.5720789009736948e-05,0.5825035771827705,0.38591345403396904,-68.52414210854958,0.5492129097878933,0.4835045296382937,tofu_phi-1_5_forget10_NPO_beta0.15_gamma0.4_epoch5,0.789184097037753,0.9999346404169144,0.528577234279646,0.7847647283930272
forget10,SimNPO,2.25,0.2,5,0.7776039976626634,0.12019527211666581,0.36169182730838656,0.4294524927085893,3.647961791830168e-11,0.5317581512267486,0.39430639662812955,-86.62415222810016,0.7744886409863829,0.539122356010081,tofu_phi-1_5_forget10_SimNPO_beta2.25_gamma0.2_epoch5,0.6358225648731923,0.9999999999073477,0.8433087558563734,0.825530524430101
forget10,SimNPO,3.0,0.175,5,0.8152942872792482,0.14210808199934732,0.4745623619481921,0.44572018216352943,5.805666105234786e-14,0.5185146942979985,0.39394685401209956,-94.53183519068216,0.7815436746552586,0.5546911118059727,tofu_phi-1_5_forget10_SimNPO_beta3.0_gamma0.175_epoch5,0.5263782173941822,0.9999999999998992,0.9314096134472964,0.8136552601221173
forget05,NPO,0.2,0.3,5,0.6997655972838401,0.09790451757099947,0.2849840559437871,0.4129200519504303,0.008539483949831865,0.5998512236226019,0.38286841630157337,-53.53202573497824,0.581151629164815,0.4857255922432662,tofu_phi-1_5_forget05_NPO_beta0.2_gamma0.3_epoch5,0.7471545710890328,0.9783001559200359,0.5411458378871894,0.7662529058193308
forget05,NPO,0.2,0.5,5,0.6819581897556781,0.09018611885478978,0.25953621285036205,0.4222583408962346,0.016258459276759563,0.6204836500659744,0.3627147309248249,-54.04152619459983,0.4608279883116484,0.4678120998294388,tofu_phi-1_5_forget05_NPO_beta0.2_gamma0.5_epoch5,0.7857044017862829,0.9586853218111107,0.4397765271473331,0.7424693614032876
forget05,SimNPO,2.5,0.125,5,0.8454421922564507,0.19733352344396202,0.5376486512646079,0.4794629621005388,5.951062636424447e-11,0.48813923074775206,0.4010500138271026,-96.25727856324588,0.8019859540462494,0.5548359760972287,tofu_phi-1_5_forget05_SimNPO_beta2.5_gamma0.125_epoch5,0.2505526872359978,0.9999999998488232,0.9322293750558199,0.7173622529964332
forget10,NPO,0.1,0.2,5,0.6438624250143766,0.07088636112818915,0.1696430790895829,0.3934970737788066,0.0007748993373290397,0.5893790788055397,0.3903941608915951,-28.348010927689355,0.60497987434268,0.4868299732799092,tofu_phi-1_5_forget10_NPO_beta0.1_gamma0.2_epoch5,0.8820977626651254,0.9980308886466522,0.5473953364155864,0.822263628883798
forget10,NPO,0.1,0.4,5,0.6377641680836678,0.06951482285072315,0.19059637336817103,0.4129705231039601,0.001024214776236788,0.6094956395743558,0.3765794585977685,-40.64783884350274,0.4236457700282335,0.45536340465869174,tofu_phi-1_5_forget10_NPO_beta0.1_gamma0.4_epoch5,0.8889479618236727,0.9973973484722317,0.36933154523553513,0.771020322174227
forget10,NPO,0.05,0.3,5,0.505202492326498,0.04764702575115457,0.049792986630272935,0.32168412671842794,0.054052912731737235,0.6524219958246528,0.3515550264241329,38.15872051209091,0.28318262345157563,0.3900969272063335,tofu_phi-1_5_forget10_NPO_beta0.05_gamma0.3_epoch5,0.9981674912760407,0.8626451217380853,0.0,0.651284414554944
forget10,NPO,0.05,0.5,5,0.5035262521728874,0.047280123154525004,0.049876497905424914,0.3351737207274455,0.015755280926407406,0.6699838370870635,0.3108551871177141,22.733070145118656,0.15779169416986405,0.4055536104771974,tofu_phi-1_5_forget10_NPO_beta0.05_gamma0.5_epoch5,1.0,0.9599639578283718,0.08746665883433773,0.7122273828902314
forget10,SimNPO,2.25,0.15,5,0.8064371717721224,0.13789658119626622,0.45086804213002324,0.4464898135210264,5.418551024174982e-13,0.5224298095258133,0.3948771429458894,-92.8565644145591,0.7779466070234775,0.551263682923955,tofu_phi-1_5_forget10_SimNPO_beta2.25_gamma0.15_epoch5,0.5474127154694303,0.9999999999986698,0.9120143947287048,0.8151987688324465
forget10,SimNPO,3.0,0.125,5,0.8403065368533135,0.1664506587566241,0.5575789057090879,0.4567599883593347,1.8397341057158477e-14,0.5122420466567038,0.3994433641242026,-97.02803925951568,0.7834632313996553,0.5518587555933963,tofu_phi-1_5_forget10_SimNPO_beta3.0_gamma0.125_epoch5,0.40479830849973,1.0,0.9153818065626376,0.7662939499436967
forget05,NPO,0.05,0.3,5,0.5234950661659241,0.05845561059586814,0.0506795991177205,0.3647917329315737,0.0020827633834865906,0.6867050471502071,0.32164604201582214,23.429359481546207,0.19549039324279874,0.43163720787342186,tofu_phi-1_5_forget05_NPO_beta0.05_gamma0.3_epoch5,0.9441836105307368,0.9947074505974445,0.23506916026673388,0.7491326194748836
forget05,NPO,0.05,0.5,5,0.4944744603335857,0.05559111426064014,0.0384057558553468,0.3381967435010331,0.0020827633834865906,0.6896614601287406,0.28315010207961333,19.188630092064248,0.1234680862328969,0.4070272674763336,tofu_phi-1_5_forget05_NPO_beta0.05_gamma0.5_epoch5,0.9584904444759725,0.9947074505974445,0.09580582524691805,0.7123610108497713
forget05,SimNPO,2.0,0.1,5,0.8555933994054794,0.2203305008511377,0.5675039602443576,0.47812795203872743,2.8873674273022313e-11,0.4869494443940025,0.4038731381797599,-96.6097149714052,0.801988921687007,0.5664038413564412,tofu_phi-1_5_forget05_SimNPO_beta2.0_gamma0.1_epoch5,0.13569342455845923,0.9999999999266753,0.9976898950353158,0.6967996670803918
